Día,Dispositivo,Mes,Día de la semana,Región,Campaña,Impresiones,Clics,Conversiones,Coste,CTR,Posic. media,CPC medio,CPM medio,Coste medio,Coste/conv.,Porcentaje de conv.,Valor conv./coste,Valor conv. total,Valor/conv.
24-may-2017,Ordenadores,May. 2017,Miércoles,Andalucía,Shopping - General,5.500,128,"1,00","17,41 €","2,33 %","0,00","0,14 €","3,17 €","0,14 €","17,41 €","0,78 %","5,16","89,85","89,85"
24-mar-2017,Ordenadores,Mar. 2017,Viernes,Cataluña,Shopping - General,559,5,"0,00","0,27 €","0,89 %","0,00","0,05 €","0,48 €","0,05 €","0,00 €","0,00 %","0,00","0,00","0,00"
07-feb-2017,Móviles,Feb. 2017,Martes,Cataluña,Shopping - General,1.858,30,"0,00","1,95 €","1,61 %","0,00","0,06 €","1,05 €","0,06 €","0,00 €","0,00 %","0,00","0,00","0,00"
15-may-2017,Móviles,May. 2017,Lunes,Castilla-La Mancha,Shopping - General,394,11,"1,00","0,13 €","2,79 %","0,00","0,01 €","0,33 €","0,01 €","0,13 €","9,09 %","399,85","51,98","51,98"
03-ene-2017,Tablets,Ene. 2017,Martes,La Rioja,Shopping - General,24,1,"0,00","0,05 €","4,17 %","0,00","0,05 €","2,08 €","0,05 €","0,00 €","0,00 %","0,00","0,00","0,00"
10-may-2017,Ordenadores,May. 2017,Miércoles,Sin especificar,Shopping - General,3,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
13-ene-2017,Tablets,Ene. 2017,Viernes,Navarra,Shopping - General,153,3,"0,00","0,46 €","1,96 %","0,00","0,15 €","3,01 €","0,15 €","0,00 €","0,00 %","0,00","0,00","0,00"
16-feb-2017,Móviles,Feb. 2017,Jueves,Cataluña,Shopping - General,1.805,34,"1,00","1,57 €","1,88 %","0,00","0,05 €","0,87 €","0,05 €","1,57 €","2,94 %","8,91","13,99","13,99"
17-abr-2017,Móviles,Abr. 2017,Lunes,Castilla-La Mancha,Shopping - General,1.117,12,"1,00","0,84 €","1,07 %","0,00","0,07 €","0,75 €","0,07 €","0,84 €","8,33 %","28,44","23,89","23,89"
02-ene-2017,Móviles,Ene. 2017,Lunes,Principado de Asturias,Shopping - General,4.153,107,"2,00","12,25 €","2,58 %","0,00","0,11 €","2,95 €","0,11 €","6,12 €","1,87 %","12,32","150,94","75,47"
06-may-2017,Móviles,May. 2017,Sábado,La Rioja,Shopping - General,158,2,"0,00","0,14 €","1,27 %","0,00","0,07 €","0,89 €","0,07 €","0,00 €","0,00 %","0,00","0,00","0,00"
18-feb-2017,Ordenadores,Feb. 2017,Sábado,Sin especificar,Shopping - General,0,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
08-abr-2017,Ordenadores,Abr. 2017,Sábado,Castilla y León,Shopping - General,385,4,"0,00","0,90 €","1,04 %","0,00","0,22 €","2,34 €","0,22 €","0,00 €","0,00 %","0,00","0,00","0,00"
23-abr-2017,Móviles,Abr. 2017,Domingo,Comunidad Valenciana,Shopping - General,2.252,50,"0,00","2,66 €","2,22 %","0,00","0,05 €","1,18 €","0,05 €","0,00 €","0,00 %","0,00","0,00","0,00"
05-mar-2017,Tablets,Mar. 2017,Domingo,Aragón,Shopping - General,204,1,"0,00","0,09 €","0,49 %","0,00","0,09 €","0,44 €","0,09 €","0,00 €","0,00 %","0,00","0,00","0,00"
22-jun-2017,Ordenadores,Jun. 2017,Jueves,Cantabria,Shopping - General,460,10,"0,00","2,10 €","2,17 %","0,00","0,21 €","4,57 €","0,21 €","0,00 €","0,00 %","0,00","0,00","0,00"
29-may-2017,Móviles,May. 2017,Lunes,Castilla y León,Shopping - General,1.598,25,"1,00","2,19 €","1,56 %","0,00","0,09 €","1,37 €","0,09 €","2,19 €","4,00 %","35,13","76,93","76,93"
02-ene-2017,Ordenadores,Ene. 2017,Lunes,La Rioja,Shopping - General,81,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
26-ene-2017,Móviles,Ene. 2017,Jueves,Cantabria,Shopping - General,276,8,"0,00","0,78 €","2,90 %","0,00","0,10 €","2,83 €","0,10 €","0,00 €","0,00 %","0,00","0,00","0,00"
10-feb-2017,Tablets,Feb. 2017,Viernes,Región de Murcia,Shopping - General,137,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
24-mar-2017,Móviles,Mar. 2017,Viernes,Aragón,Shopping - General,791,12,"0,00","0,85 €","1,52 %","0,00","0,07 €","1,07 €","0,07 €","0,00 €","0,00 %","0,00","0,00","0,00"
05-mar-2017,Tablets,Mar. 2017,Domingo,País Vasco,Shopping - General,173,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
22-mar-2017,Ordenadores,Mar. 2017,Miércoles,Región de Murcia,Shopping - General,68,3,"0,00","0,15 €","4,41 %","0,00","0,05 €","2,21 €","0,05 €","0,00 €","0,00 %","0,00","0,00","0,00"
17-abr-2017,Tablets,Abr. 2017,Lunes,Castilla y León,Shopping - General,182,0,"0,00","0,00 €","0,00 %","0,00","0,00 €","0,00 €","0,00 €","0,00 €","0,00 %","0,00","0,00","0,00"
19-jun-2017,Tablets,Jun. 2017,Lunes,Andalucía,Shopping - General,1.084,13,"0,00","1,00 €","1,20 %","0,00","0,08 €","0,92 €","0,08 €","0,00 €","0,00 %","0,00","0,00","0,00"
22-jun-2017,Tablets,Jun. 2017,Jueves,Andalucía,Shopping - General,975,23,"0,00","1,84 €","2,36 %","0,00","0,08 €","1,89 €","0,08 €","0,00 €","0,00 %","0,00","0,00","0,00"
04-abr-2017,Ordenadores,Abr. 2017,Martes,Comunidad Valenciana,Shopping - General,2.034,38,"0,00","4,22 €","1,87 %","0,00","0,11 €","2,07 €","0,11 €","0,00 €","0,00 %","0,00","0,00","0,00"
